dupl_subject_id,single_subject_id
40155229,40155229
40155234,40155234
40155238,40155238
40155244,40155244
40155246,40155246
40155250,40155250
40155260,40155260
40155264,40155264
40155273,40155273
40155274,40155274
40155279,40155279
40155285,40155285
40155288,40155288
40155295,40155295
40155296,40155296
40155300,40155300
40155310,40155310
40155313,40155313
40155319,40155319
40155320,40155320
40155325,40155325
40155331,40155331
40155336,40155336
40155344,40155344
40155349,40155349
40155350,40155350
40155356,40155356
40155362,40155362
40155367,40155367
40155371,40155371
40155372,40155372
40155378,40155378
40155385,40155385
40155389,40155389
40155393,40155393
40155394,40155394
40155399,40155399
40155404,40155404
40155412,40155412
40155417,40155417
40155418,40155418
40155425,40155425
40155427,40155427
40155435,40155435
40155440,40155440
40155441,40155441
40155447,40155447
40155450,40155450
40155454,40155454
40155458,40155458
40155459,40155459
40155466,40155466
40155472,40155472
40155482,40155482
40155488,40155488
40155491,40155491
40155495,40155495
40155500,40155500
40155507,40155507
40155511,40155511
40155513,40155513
40155518,40155518
40155520,40155520
40155529,40155529
40155532,40155532
40155534,40155534
40155537,40155537
40155540,40155540
40155542,40155542
40155544,40155544
40155560,40155560
40155564,40155564
40155566,40155566
40155567,40155567
40155569,40155569
40155584,40155584
40155588,40155588
40155589,40155589
40155591,40155591
40155594,40155594
40155608,40155608
40155613,40155613
40155616,40155616
40155617,40155617
40155619,40155619
40155631,39384388
40155636,40155636
40155637,40155637
40155639,39384389
40155642,40155642
40155655,40155655
40155658,39384390
40155659,40155659
40155661,40155661
40155663,39384391
40155676,40155676
40155680,40155680
40155682,39384392
40155683,40155683
40155687,40155687
40155702,39384393
40155707,40155707
40155708,40155708
40155709,39384394
40155711,40155711
40155721,40155721
40155726,39384395
40155728,40155728
40155730,40155730
40155732,39384396
40155746,40155746
40155751,40155751
40155753,39384397
40155755,40155755
40155757,40155757
40155769,39384398
40155777,40155777
40155779,40155779
40155781,39384400
40155782,40155782
40155792,40155792
40155796,39384399
40155798,40155798
40155800,40155800
40155802,39384401
40155811,40155811
40155818,40155818
40155823,39384402
40155826,40155826
40155829,40155829
40155840,39384403
40155848,40155848
40155850,40155850
40155853,39384404
40155855,40155855
40155861,40155861
40155868,39384405
40155869,40155869
40155870,40155870
40155873,39384406
40155882,40155882
40155894,40155894
40155895,39384407
40155900,40155900
40155902,40155902
40155911,39384408
40155920,40155920
40155926,40155926
40155928,39384410
40155929,40155929
40155931,40155931
40155938,39384409
40155945,40155945
40155947,40155947
40155949,39384411
40155954,40155954
40155965,40155965
40155974,39384412
40155976,40155976
40155979,40155979
40155981,39384413
40155992,40155992
40156000,40156000
40156003,39384414
40156006,40156006
40156009,40156009
40156015,39384415
40156021,40156021
40156022,40156022
40156025,39384416
40156031,40156031
40156039,40156039
40156049,39384417
40156051,40156051
40156053,40156053
40156058,39384418
40156063,40156063
40156073,40156073
40156075,39384419
40156079,40156079
40156082,40156082
40156088,39384420
40156095,40156095
40156097,40156097
40156101,39384422
40156104,40156104
40156109,40156109
40156116,39384421
40156120,40156120
40156124,40156124
40156128,39384423
40156131,40156131
40157995,40154711
40157996,40154712
40157997,40154710
40157998,40154713
40157999,40154714
40158020,40154721
40158021,40154722
40158022,40154723
40158023,40154725
40158025,40154724
40158043,40154727
40158044,40154732
40158046,40154734
40158047,40154733
40158048,40154736
40158067,40154742
40158068,40154739
40158069,40154744
40158070,40154743
40158071,40154746
40158092,40154748
40158093,40154755
40158094,40154756
40158095,40154758
40158099,40154759
40158114,40154761
